annotation_text                                         	 Full_name annotation                                                 	 cl_id     	 cl_label                                                  	 grounding_cl_id	 grounding_cl_label                                               	 result	 article_id_pmc	 enrichment                                                                                                                                                                                                                                                                                                             	 grounding_MATCH	 Editor notes
CCR2 + monocyte                                         	 C–C chemokine receptor 2-positive monocyte                           	 CL:0000860	 classical monocyte                                        	 CL:0000576     	 monocyte                                                         	 FALSE 	       10563327	 {'name': 'CCR2 + monocyte', 'full_name': 'C–C chemokine receptor 2-positive monocyte', 'paper_synonyms': 'CCR2+ monocyte', 'tissue_context': 'Peripheral blood mononuclear cells (PBMCs)'}                                                                                                                             	   BROAD             	 
gastric progenitor                                      	 gastric progenitor cells                                             	 CL:0002183	 stem cell of gastric gland                                	 CL:0011026     	 progenitor cell                                                  	 FALSE 	       10319429	 {'name': 'gastric progenitor', 'full_name': 'gastric progenitor cells', 'paper_synonyms': None, 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}                                                                                                                                  	                	 
neck and endocrine cells                                	 mucous neck cells and endocrine cells                                	 CL:0002181	 mucous neck cell of gastric gland                         	 NO MATCH found 	                                                                  	 FALSE 	       10319429	 {'name': 'neck and endocrine cells', 'full_name': 'mucous neck cells and endocrine cells', 'paper_synonyms': None, 'tissue_context': 'human gastric corpus epithelium; corpus glands'}                                                                                                                                 	   EXACT             	 
progenitor                                              	 progenitor cells                                                     	 CL:0002183	 stem cell of gastric gland                                	 CL:0011026     	 progenitor cell                                                  	 FALSE 	       10319429	 {'name': 'progenitor', 'full_name': 'progenitor cells', 'paper_synonyms': None, 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}                                                                                                                                                  	   EXACT             	 
stem/progenitor cells                                   	 stem/progenitor cells                                                	 CL:0002183	 stem cell of gastric gland                                	 CL:0011026     	 progenitor cell                                                  	 FALSE 	       10319429	 {'name': 'stem/progenitor cells', 'full_name': 'stem/progenitor cells', 'paper_synonyms': 'progenitor cluster; cycling progenitor cluster', 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}                                                                                      	                	 
Myeloid progenitor                                      	 Myeloid progenitor                                                   	 CL:0000049	 common myeloid progenitor                                 	 CL:0000839     	 myeloid lineage restricted progenitor cell                       	 FALSE 	       10012539	 {'name': 'Myeloid progenitor', 'full_name': 'Myeloid progenitor', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}                                                                                                                                                                                      	   NARROW             	 Query: myeloid progenitor cell -> [('CL:0000839', 'myeloid lineage restricted progenitor cell'), ('CL:0000049', 'common myeloid progenitor')- should we have another agent doing a second rouund (loop)
acinar cells                                            	 acinar cells                                                         	 CL:0000622	 acinar cell                                               	 CL:0002623     	 acinar cell of salivary gland                                    	 FALSE 	       10576811	 {'name': 'acinar cells', 'full_name': 'acinar cells', 'paper_synonyms': None, 'tissue_context': 'salivary glands (SG); submandibular gland (SMG); sublingual (SLG)'}                                                                                                                                                   	   NARROW             	 Too narrow based on tissue context - another run without tissue context "annotations=[TextAnnotation(input_name='acinar', text='acinar cell', cl_id='CL:0000622', cl_label='acinar cell'), TextAnnotation(input_name='acinar', text='acinar', cl_id='CL:0000622', cl_label='acinar cell')]"
acinar and MECs                                         	 acinar and myoepithelial cells                                       	 CL:0000622	 acinar cell                                               	 NO MATCH found 	                                                                  	 FALSE 	       10576811	 {'name': 'acinar and MECs', 'full_name': 'acinar and myoepithelial cells', 'paper_synonyms': 'myoepithelial cells; MECs; MEC', 'tissue_context': 'salivary glands (SG); submandibular gland (SMG)'}                                                                                                                    	                	        The agent struggles to identify a cell type when multiple cell types are mentioned together
acinar                                                  	 acinar cells                                                         	 CL:0000622	 acinar cell                                               	 CL:0002623     	 acinar cell of salivary gland                                    	 FALSE 	       10576811	 {'name': 'acinar', 'full_name': 'acinar cells', 'paper_synonyms': None, 'tissue_context': 'salivary glands (SG); submandibular gland (SMG); sublingual (SLG)'}                                                                                                                                                         	                	 
interneuron                                             	 GABAergic interneuron                                                	 CL:0008031	 cortical interneuron                                      	 CL:0011005     	 GABAergic interneuron                                            	 FALSE 	       10332811	 {'name': 'interneuron', 'full_name': 'GABAergic interneuron', 'paper_synonyms': 'inhibitory interneuron; GABAergic interneuron', 'tissue_context': 'supragranular layers of human neocortex'}                                                                                                                          	   EXACT                   	The paper is referring to GABAergic interneurons 
pyramidal                                               	 pyramidal neuron                                                     	 CL:4023111	 cerebral cortex pyramidal neuron                          	 CL:0000598     	 pyramidal neuron                                                 	 FALSE 	       10332811	 {'name': 'pyramidal', 'full_name': 'pyramidal neuron', 'paper_synonyms': 'pyramidal neuron; pyramidal cell; excitatory pyramidal neuron; Pyr', 'tissue_context': 'supragranular layers of human neocortex'}                                                                                                            	   EXACT/BROAD             	        RS mapping is based on tissue context
IEL                                                     	 intraepithelial lymphocytes                                          	 CL:0000796	 CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	 CL:0002496     	 intraepithelial lymphocyte                                       	 FALSE 	       10040725	 {'name': 'IEL', 'full_name': 'intraepithelial lymphocytes', 'paper_synonyms': 'intraepithelial lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	   EXACT             	    RS mappings are too specific
stem/progenitor cells                                   	 stem/progenitor cells                                                	 CL:0000034	 stem cell                                                 	 NO MATCH found 	                                                                  	 FALSE 	       10216974	 {'name': 'stem/progenitor cells', 'full_name': 'stem/progenitor cells', 'paper_synonyms': None, 'tissue_context': 'lacrimal gland (LG); basal ductal compartment of multilayered ducts'}                                                                                                                               	                	        The agent struggles to identtify a cell type when multiple cell types are mentioned together
endocrine                                               	 endocrine cells                                                      	 CL:0008024	 pancreatic endocrine cell                                 	 CL:0000163     	 endocrine cell                                                   	 FALSE 	       10313850	 {'name': 'endocrine', 'full_name': 'endocrine cells', 'paper_synonyms': 'islet cells; Langerhans islet cells', 'tissue_context': 'islets of Langerhans; endocrine pancreas'}                                                                                                                                           	                	 
endocrine and exocrine cells                            	 endocrine and exocrine pancreatic cells                              	 CL:0008024	 pancreatic endocrine cell                                 	 NO MATCH found 	                                                                  	 FALSE 	       10313850	 {'name': 'endocrine and exocrine cells', 'full_name': 'endocrine and exocrine pancreatic cells', 'paper_synonyms': None, 'tissue_context': 'pancreas; pancreatic tissue'}                                                                                                                                              	                	         Wrong RS mapping / the agent struggles to identtify a cell type when multiple cell types are mentioned together
cardiac                                                 	                                                                      	 CL:0002494	 cardiocyte                                                	 NO MATCH found 	                                                                  	 FALSE 	       10394006	 {'name': 'cardiac', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}                                                                                                                                                                                                                                 	   Narrow             	 
