annotation_text	cl_id	article_id_pmc	grounding_cl_id	grounding_cl_label	enrichment	result
CCR6+CD161+ Th17	CL:0000899	10068448	CL:0000899	T-helper 17 cell		TRUE
activated regulatory T-cell	CL:0000902	10068448	CL:0000815	regulatory T cell		FALSE
T-cell	CL:0000084	10068448	CL:0000084	T cell		TRUE
cardiomyocytes	CL:0000746	10150206	CL:0000746	cardiac muscle cell		TRUE
pluripotent stem cells	CL:0002248	10150206	CL:0002248	pluripotent stem cell		TRUE
monocyte	CL:0000576	10155691	CL:0000576	monocyte		TRUE
myeloid cell	CL:0000763	10155691	CL:0000763	myeloid cell		TRUE
macrophage	CL:0000235	10155691	CL:0000235	macrophage		TRUE
oocytes	CL:0000023	10029192	CL:0000023	oocyte		TRUE
ovarian granulosa cells	CL:0000501	10029192	CL:4033066	pre-granulosa cell		FALSE
ILCs	CL:0001065	10600214	CL:0001065	innate lymphoid cell		TRUE
oligodendrocytes	CL:0000128	10482700	CL:0000128	oligodendrocyte		TRUE
AST	CL:0000127	10482700	CL:0000127	astrocyte		TRUE
Astrocytes	CL:0000127	10482700	CL:0000127	astrocyte		TRUE
BG	CL:0000644	10482700	CL:0000644	Bergmann glial cell		TRUE
Bergman Glia	CL:0000644	10482700	CL:0000644	Bergmann glial cell		TRUE
Caudal Ganglionic Eminescence	CL:4042039	10482700	CL:4042039	caudal ganglionic eminence derived neuron		TRUE
ENDO	CL:0000115	10482700	CL:0000115	endothelial cell		TRUE
Endothelial cells	CL:0000115	10482700	CL:0000115	endothelial cell		TRUE
GC	CL:0000120	10482700	CL:0000120	granule cell		TRUE
Granule Cell	CL:0000120	10482700	CL:0000120	granule cell		TRUE
GP	CL:0002362	10482700	CL:0002362	cerebellar granule cell precursor		TRUE
Granule cell Progenitor	CL:0002362	10482700	CL:0002362	cerebellar granule cell precursor		TRUE
Medial Ganglionic Eminescence	CL:4023063	10482700	CL:4023063	medial ganglionic eminence derived interneuron		TRUE
Microglia	CL:0000129	10482700	CL:0000129	microglial cell		TRUE
MG	CL:0000636	10482700	NO MATCH found			FALSE
Muller Glia	CL:0000636	10482700	CL:0000636	Mueller cell		TRUE
OL	CL:0000128	10482700	CL:0000128	oligodendrocyte		TRUE
Oligodendrocyte	CL:0000128	10482700	CL:0000128	oligodendrocyte		TRUE
OPC	CL:0002453	10482700	CL:0002453	oligodendrocyte precursor cell		TRUE
Oligodendrocyte Precursor Cells	CL:0002453	10482700	CL:0002453	oligodendrocyte precursor cell		TRUE
PURK	CL:0000121	10482700	CL:0000121	Purkinje cell		TRUE
Purkinje cells	CL:0000121	10482700	CL:0000121	Purkinje cell		TRUE
Myeloid-Derived Suppressor Cells	CL:0000889	10332263	CL:0000889	myeloid suppressor cell		TRUE
B-cell	CL:0000236	10166697	CL:0000236	B cell		TRUE
T cells	CL:0000084	10166697	CL:0000084	T cell		TRUE
small-intestine epithelial cells	CL:0002254	10290983	CL:0002254	epithelial cell of small intestine		TRUE
pit cells	CL:0000352	10314903	CL:2000054	hepatic pit cell		FALSE
pit	CL:0000352	10314903	CL:2000054	hepatic pit cell		FALSE
bronchoalveolar macrophage	CL:1001603	10388518	CL:1001603	lung macrophage		TRUE
alveolar type 1	CL:0002062	10629677	CL:0002062	pulmonary alveolar type 1 cell		TRUE
alveolar type 2 cell	CL:0002063	10629677	CL:0002063	pulmonary alveolar type 2 cell		TRUE
CECs	CL:0000132	10249941	CL:0000132	corneal endothelial cell		TRUE
dSPNs	CL:4023026	10239471	CL:4023026	direct pathway medium spiny neuron		TRUE
iSPNs	CL:4023029	10239471	CL:4023029	indirect pathway medium spiny neuron		TRUE
oligodendrocytes	CL:0000128	10239471	CL:0000128	oligodendrocyte		TRUE
astrocytes	CL:0000127	10239471	CL:0000127	astrocyte		TRUE
interneurons	CL:0000099	10239471	CL:0000099	interneuron		TRUE
neuronal cell	CL:0000540	10239471	CL:0000006	neuronal receptor cell		FALSE
neuronal	CL:0000540	10239471	CL:0000006	neuronal receptor cell		FALSE
progenitor	CL:0011026	10239471	CL:0011026	progenitor cell		TRUE
neural progenitor	CL:0011020	10239471	CL:0011020	neural progenitor cell		TRUE
SPNs	CL:1001474	10239471	CL:1001474	medium spiny neuron		TRUE
keratinocyte	CL:0000312	10669845	CL:0000312	keratinocyte		TRUE
T lymphocytes	CL:0000084	10669845	CL:0000084	T cell		TRUE
CD8+ cells	CL:0000625	10669845	CL:0000625	CD8-positive, alpha-beta T cell		TRUE
CD4+ cells	CL:0000624	10669845	CL:0000492	CD4-positive helper T cell		FALSE
CD4+ T helper (Th) cells	CL:0000492	10669845	CL:0000492	CD4-positive helper T cell		TRUE
CD8+ cytotoxic T lymphocytes	CL:0000794	10669845	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell		TRUE
CTLs	CL:0000794	10669845	NO MATCH found			FALSE
liver sinusoidal endothelial cell	CL:1000398	10562492	CL:1000398	endothelial cell of hepatic sinusoid		TRUE
LSEC	CL:1000398	10562492	CL:1000398	endothelial cell of hepatic sinusoid		TRUE
cholangiocyte	CL:1000488	10562492	CL:1000488	cholangiocyte		TRUE
HSC	CL:0000632	10562492	CL:0000037	hematopoietic stem cell		FALSE
cholangiocytes	CL:1000488	10562492	CL:1000488	cholangiocyte		TRUE
erythrocytes	CL:0000232	10050359	CL:0000232	erythrocyte		TRUE
mesenchymal stem cell	CL:0000134	10268391	CL:0000134	mesenchymal stem cell		TRUE
stem cell	CL:0000034	10268391	CL:0000034	stem cell		TRUE
mammary stem cell	CL:0002451	10576046	CL:0002451	mammary stem cell		TRUE
mammary stem cells	CL:0002451	10576046	CL:0002451	mammary stem cell		TRUE
unipotent estrogen receptor-negative luminal progenitors	CL:4033057	10576046	CL:0009116	progenitor cell of mammary luminal epithelium		FALSE
mammary epithelial cells	CL:0002327	10576046	CL:0002327	mammary gland epithelial cell		TRUE
luminal cell	CL:0002326	10576046	CL:0002326	luminal epithelial cell of mammary gland		TRUE
luminal cells	CL:0002326	10576046	CL:0002326	luminal epithelial cell of mammary gland		TRUE
sickle and normal cells	CL:0000232	10419148	CL:0000000	cell		FALSE
CCR2 + monocyte	CL:0000860	10563327	CL:0000576	monocyte		FALSE
oligodendrocytes	CL:0000128	10208966	CL:0000128	oligodendrocyte		TRUE
astrocytes	CL:0000127	10208966	CL:0000127	astrocyte		TRUE
radial glia	CL:0000681	10208966	CL:0000681	radial glial cell		TRUE
endothelial	CL:0000115	10208966	CL:0000115	endothelial cell		TRUE
pericytes	CL:0000669	10208966	CL:0000669	pericyte		TRUE
gastric stem cells	CL:0002183	10319429	CL:0002183	stem cell of gastric gland		TRUE
gastric progenitor	CL:0002183	10319429	CL:0011026	progenitor cell		FALSE
gastric epithelial cells	CL:0002178	10319429	CL:0002183	stem cell of gastric gland		FALSE
parietal cells	CL:0000162	10319429	CL:0000162	parietal cell		TRUE
neck cells	CL:0002181	10319429	CL:0002181	mucous neck cell of gastric gland		TRUE
neck and endocrine cells	CL:0002181	10319429	CL:0000163	endocrine cell		FALSE
gastric progenitor cells	CL:0002183	10319429	CL:0011026	progenitor cell		FALSE
endocrine cells	CL:0000163	10319429	CL:0000163	endocrine cell		TRUE
progenitor cells	CL:0011026	10319429	CL:0011026	progenitor cell		TRUE
Neutrophil	CL:0000775	10012539	CL:0000775	neutrophil		TRUE
Macrophage	CL:0000235	10012539	CL:0000235	macrophage		TRUE
Dendritic cell	CL:0000451	10012539	CL:0000451	dendritic cell		TRUE
B cell	CL:0000236	10012539	CL:0000236	B cell		TRUE
Pro-B cell	CL:0000826	10012539	CL:0000826	pro-B cell		TRUE
T cell	CL:0000084	10012539	CL:0000084	T cell		TRUE
Natural killer cell	CL:0000623	10012539	CL:0000623	natural killer cell		TRUE
Megakaryocyte	CL:0000556	10012539	CL:0000556	megakaryocyte		TRUE
Erythrocyte	CL:0000232	10012539	CL:0000232	erythrocyte		TRUE
Mesenchymal cell	CL:0008019	10012539	CL:0008019	mesenchymal cell		TRUE
Myeloid progenitor	CL:0000049	10012539	CL:0000049	common myeloid progenitor		TRUE
Endothelial Cell	CL:0000115	10662149	CL:0000115	endothelial cell		TRUE
Epithelial Cell	CL:0000066	10662149	CL:0000066	epithelial cell		TRUE
Fibroblast	CL:0000057	10662149	CL:0000057	fibroblast		TRUE
Granulosa Cell	CL:0000501	10662149	CL:0000501	granulosa cell		TRUE
Leydig Cell	CL:0000178	10662149	CL:0000178	Leydig cell		TRUE
M1 Macrophage	CL:0000863	10662149	CL:0000863	inflammatory macrophage		TRUE
M2 Macrophage	CL:0000890	10662149	CL:0000890	alternatively activated macrophage		TRUE
Memory T Cell	CL:0000813	10662149	CL:0000813	memory T cell		TRUE
Mesenchymal Cell	CL:0008019	10662149	CL:0008019	mesenchymal cell		TRUE
Progenitor Cell	CL:0011026	10662149	CL:0011026	progenitor cell		TRUE
Naive B Cell	CL:0000788	10662149	CL:0000788	naive B cell		TRUE
Natural Killer (NK) Cell	CL:0000623	10662149	CL:0000623	natural killer cell		TRUE
Natural Killer T (NKT) Cell	CL:0000814	10662149	CL:0000814	mature NK T cell		TRUE
Neutrophil	CL:0000775	10662149	CL:0000775	neutrophil		TRUE
Plasma Cell	CL:0000786	10662149	CL:0000786	plasma cell		TRUE
Plasmacytoid Dendritic Cell	CL:0000784	10662149	CL:0000784	plasmacytoid dendritic cell		TRUE
Regulatory T (Treg) Cell	CL:0000815	10662149	CL:0000815	regulatory T cell		TRUE
T Helper Cell	CL:0000912	10662149	CL:0000912	helper T cell		TRUE
mesenchymal cells	CL:0008019	10576811	CL:0008019	mesenchymal cell		TRUE
acinar cells	CL:0000622	10576811	CL:0000622	acinar cell		TRUE
acinar and MECs	CL:0000622	10576811	CL:0000185	myoepithelial cell		FALSE
acinar	CL:0000622	10576811	CL:0000622	acinar cell		TRUE
MEC	CL:0000185	10576811	CL:0000185	myoepithelial cell		TRUE
basal cells	CL:0000646	10576811	CL:0000646	basal cell		TRUE
interneuron	CL:0008031	10332811	CL:0011005	GABAergic interneuron		FALSE
pyramidal	CL:4023111	10332811	CL:0000598	pyramidal neuron		FALSE
T cells	CL:0000084	10040725	CL:0000084	T cell		TRUE
T lymphocytes	CL:0000084	10040725	CL:0000084	T cell		TRUE
CD8+ T cells	CL:0000625	10040725	CL:0000625	CD8-positive, alpha-beta T cell		TRUE
CD4+ T cells	CL:0000624	10040725	CL:0000492	CD4-positive helper T cell		FALSE
CD8+ MAIT	CL:0000940	10040725	CL:0000940	mucosal invariant T cell		TRUE
CD8+ Naive	CL:0000900	10040725	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell		TRUE
CD8+ intraepithelial lymphocytes	CL:0000796	10040725	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell		TRUE
IEL	CL:0000796	10040725	CL:0002496	intraepithelial lymphocyte		FALSE
CD8+ Tem	CL:0000913	10040725	CL:0000913	effector memory CD8-positive, alpha-beta T cell		TRUE
CD8+ Temra	CL:0001062	10040725	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated		TRUE
CD4+ Tem	CL:0000905	10040725	CL:0001087	effector memory CD4-positive, alpha-beta T cell, terminally differentiated		FALSE
CD4+ Th17	CL:0000899	10040725	CL:0000899	T-helper 17 cell		TRUE
CD4+ Naive	CL:0000895	10040725	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell		TRUE
CD4+ Treg	CL:0000792	10040725	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell		TRUE
CD4+ T lymphocytes	CL:0000624	10040725	CL:0000492	CD4-positive helper T cell		FALSE
MECs	CL:0000185	10216974	CL:0000185	myoepithelial cell		TRUE
stem cells	CL:0000034	10216974	CL:0000034	stem cell		TRUE
mammary ductal cells	CL:0002326	10216974	CL:0002079	pancreatic ductal cell		FALSE
tubular cells	CL:1000507	10216974	CL:4030038	CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell		FALSE
corneal limbal stem cells	CL:4033093	10216974	CL:4033093	limbal epithelial stem cell of cornea		TRUE
stem/progenitor cells	CL:0000034	10216974	CL:0011026	progenitor cell		FALSE
M1 macrophages	CL:0000863	10105558	CL:0000863	inflammatory macrophage		TRUE
naive B cells	CL:0000788	10105558	CL:0000788	naive B cell		TRUE
neutrophils	CL:0000775	10105558	CL:0000775	neutrophil		TRUE
CD8 T cells	CL:0000625	10105558	CL:0000625	CD8-positive, alpha-beta T cell		TRUE
Tregs	CL:0000815	10105558	NO MATCH found			FALSE
M2 macrophages	CL:0000890	10105558	CL:0000890	alternatively activated macrophage		TRUE
pancreatic islet cells	CL:0008024	10498638	CL:0008024	pancreatic endocrine cell		TRUE
IHC	CL:0000589	10147377	CL:0000589	cochlear inner hair cell		TRUE
inner hair cell	CL:0000589	10147377	CL:0000589	cochlear inner hair cell		TRUE
OHC	CL:0000601	10147377	NO MATCH found			FALSE
outer hair cell	CL:0000601	10147377	CL:0000601	cochlear outer hair cell		TRUE
SGN	CL:0011113	10147377	NO MATCH found			FALSE
spiral ganglion neuron	CL:0011113	10147377	CL:0011113	spiral ganglion neuron		TRUE
motor neuron	CL:0000100	10147377	CL:0000100	motor neuron		TRUE
neuronal	CL:0000540	10147377	CL:0000006	neuronal receptor cell		FALSE
oligodendrocyte	CL:0000128	10147377	CL:0000128	oligodendrocyte		TRUE
brainstem motor neurons	CL:2000047	10147377	CL:2000047	brainstem motor neuron		TRUE
endocrine	CL:0008024	10313850	CL:0000163	endocrine cell		FALSE
exocrine cells	CL:1001599	10313850	CL:0000152	exocrine cell		FALSE
endocrine and exocrine cells	CL:0008024	10313850	CL:0000163	endocrine cell		FALSE
exocrine acinar cells	CL:0002064	10313850	CL:0000622	acinar cell		FALSE
islet cells	CL:0008024	10313850	CL:4052014	pancreatic islet capillary endothelial cell		FALSE
cardiomyocytes	CL:0000746	10394006	CL:0000746	cardiac muscle cell		TRUE
CMCs	CL:0000746	10394006	NO MATCH found			FALSE
cardiac	CL:0002494	10394006	CL:0010021	cardiac myoblast		FALSE
fibroblast	CL:0000057	10463598	CL:0000057	fibroblast		TRUE
synovial macrophage	CL:0002302	10204300	CL:0002302	type A synovial cell		TRUE
Lin-Sca-1 + c-Kit +	CL:0001008	10244168	CL:0001008	Kit and Sca1-positive hematopoietic stem cell		TRUE
LSK	CL:0001008	10244168	CL:0001008	Kit and Sca1-positive hematopoietic stem cell		TRUE
multipotent progenitors	CL:0000837	10244168	CL:0000837	hematopoietic multipotent progenitor cell		TRUE
long-term HSCs	CL:0002034	10244168	CL:0002034	long term hematopoietic stem cell		TRUE
short-term HSCs	CL:0002033	10244168	CL:0002033	short term hematopoietic stem cell		TRUE
HSCST	CL:0002033	10244168	NO MATCH found			FALSE
erythroid	CL:0000764	10244168	CL:0000764	erythroid lineage cell		TRUE
Proerythroblasts	CL:0000547	10244168	CL:0000547	proerythroblast		TRUE
basophilic erythroblasts	CL:0000549	10244168	CL:0000549	basophilic erythroblast		TRUE
polychromatic erythroblasts	CL:0000550	10244168	CL:0000550	polychromatophilic erythroblast		TRUE
orthochromatic erythroblasts	CL:0000552	10244168	CL:0000552	orthochromatic erythroblast		TRUE
erythroblasts	CL:0000765	10244168	CL:0000765	erythroblast		TRUE
erythroid progenitors	CL:0000038	10244168	CL:0000038	erythroid progenitor cell		TRUE
Lymphoid cell	CL:0000542	10544225	CL:0001065	innate lymphoid cell		FALSE
T cell	CL:0000084	10544225	CL:0000084	T cell		TRUE
CD4+ T cells	CL:0000624	10544225	CL:0000492	CD4-positive helper T cell		FALSE
Treg	CL:0000815	10544225	CL:0000815	regulatory T cell		TRUE
CD8+ T cells	CL:0000625	10544225	CL:0000625	CD8-positive, alpha-beta T cell		TRUE
T helper type 1 (Th1) cells	CL:0000545	10544225	CL:0000545	T-helper 1 cell		TRUE
Th1 effector cells	CL:0000545	10544225	CL:0000545	T-helper 1 cell		TRUE
CD3-expressing T cells	CL:0000084	10544225	CL:0000084	T cell		TRUE
NK cells	CL:0000623	10544225	CL:0000623	natural killer cell		TRUE
CD79-expressing B cells	CL:0000236	10544225	CL:0000236	B cell		TRUE
B cell	CL:0000236	10544225	CL:0000236	B cell		TRUE
type 1 B cells	CL:0000819	10544225	CL:0000819	B-1 B cell		TRUE
B1 cells	CL:0000819	10544225	CL:0000819	B-1 B cell		TRUE
B2 cells	CL:0000822	10544225	CL:0000822	B-2 B cell		TRUE
T cells	CL:0000084	10544225	CL:0000084	T cell		TRUE
EC	CL:0000115	10607880	CL:0000115	endothelial cell		TRUE
DRG neurons	CL:1001451	10607880	CL:1001451	sensory neuron of dorsal root ganglion		TRUE
oocyte	CL:0000023	10530015	CL:0000023	oocyte		TRUE
M2 than M1 human macrophages	CL:0000890	10465384	CL:0000890	alternatively activated macrophage		TRUE
