annotation_text	cl_id	cl_label	article_id_pmc	enrichment	grounding_cl_id	grounding_cl_label	result
ovarian granulosa cells	CL:0000501	granulosa cell	10029192	{'name': 'ovarian granulosa cells', 'full_name': 'ovarian granulosa cells', 'paper_synonyms': None, 'tissue_context': 'human ovarian granulosa cells'}	CL:0000501	granulosa cell	TRUE
erythrocytes	CL:0000232	erythrocyte	10050359	{'name': 'erythrocytes', 'full_name': 'erythrocytes', 'paper_synonyms': 'red blood cells; RBC', 'tissue_context': 'blood; circulation'}	CL:0000232	erythrocyte	TRUE
Neutrophil	CL:0000775	neutrophil	10012539	{'name': 'Neutrophil', 'full_name': 'Neutrophil', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000775	neutrophil	TRUE
Macrophage	CL:0000235	macrophage	10012539	{'name': 'Macrophage', 'full_name': 'Macrophage', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow; long bone marrow'}	CL:0000235	macrophage	TRUE
Dendritic cell	CL:0000451	dendritic cell	10012539	{'name': 'Dendritic cell', 'full_name': 'Dendritic cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000451	dendritic cell	TRUE
B cell	CL:0000236	B cell	10012539	{'name': 'B cell', 'full_name': 'B cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000236	B cell	TRUE
Pro-B cell	CL:0000826	pro-B cell	10012539	{'name': 'Pro-B cell', 'full_name': 'Pro-B cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000826	pro-B cell	TRUE
T cell	CL:0000084	T cell	10012539	{'name': 'T cell', 'full_name': 'T cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000084	T cell	TRUE
Natural killer cell	CL:0000623	natural killer cell	10012539	{'name': 'Natural killer cell', 'full_name': 'Natural killer cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000623	natural killer cell	TRUE
Megakaryocyte	CL:0000556	megakaryocyte	10012539	{'name': 'Megakaryocyte', 'full_name': 'Megakaryocyte', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000556	megakaryocyte	TRUE
Erythrocyte	CL:0000232	erythrocyte	10012539	{'name': 'Erythrocyte', 'full_name': 'Erythrocyte', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000232	erythrocyte	TRUE
Mesenchymal cell	CL:0008019	mesenchymal cell	10012539	{'name': 'Mesenchymal cell', 'full_name': 'Mesenchymal cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0008019	mesenchymal cell	TRUE
Myeloid progenitor	CL:0000049	common myeloid progenitor	10012539	{'name': 'Myeloid progenitor', 'full_name': 'Myeloid progenitor', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000049	common myeloid progenitor	TRUE
T cells	CL:0000084	T cell	10040725	{'name': 'T cells', 'full_name': 'T lymphocytes', 'paper_synonyms': 'T lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000084	T cell	TRUE
T lymphocytes	CL:0000084	T cell	10040725	{'name': 'T lymphocytes', 'full_name': 'T lymphocytes', 'paper_synonyms': 'T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000084	T cell	TRUE
CD8+ T cells	CL:0000625	CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ T cells', 'full_name': 'CD8+ T cells', 'paper_synonyms': 'CD8+ T lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
CD4+ T cells	CL:0000624	CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ T cells', 'full_name': 'CD4+ T cells', 'paper_synonyms': 'CD4+ T lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CD8+ MAIT	CL:0000940	mucosal invariant T cell	10040725	{'name': 'CD8+ MAIT', 'full_name': 'CD8+ mucosa‐associated invariant T cells', 'paper_synonyms': 'MAIT; mucosa‐associated invariant', 'tissue_context': 'HSIL tissues, including glands, connective tissues and HSIL foci; normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000940	mucosal invariant T cell	TRUE
CD8+ Naive	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ Naive', 'full_name': 'CD8+ naïve T cells', 'paper_synonyms': 'Tn', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	TRUE
CD8+ intraepithelial lymphocytes	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	10040725	{'name': 'CD8+ intraepithelial lymphocytes', 'full_name': 'CD8+ intraepithelial lymphocytes', 'paper_synonyms': 'IEL; intraepithelial lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0002496	intraepithelial lymphocyte	FALSE
IEL	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	10040725	{'name': 'IEL', 'full_name': 'intraepithelial lymphocytes', 'paper_synonyms': 'intraepithelial lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0002496	intraepithelial lymphocyte	FALSE
CD8+ Tem	CL:0000913	effector memory CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ Tem', 'full_name': 'CD8+ effector memory T cells', 'paper_synonyms': 'Tem; effector memory', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000913	effector memory CD8-positive, alpha-beta T cell	TRUE
CD8+ Temra	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	10040725	{'name': 'CD8+ Temra', 'full_name': 'CD8+ recently activated effector memory T cells', 'paper_synonyms': 'TemRA; recently activated effector memory', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000913	effector memory CD8-positive, alpha-beta T cell	FALSE
CD4+ Tem	CL:0000905	effector memory CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ Tem', 'full_name': 'CD4+ effector memory T cells', 'paper_synonyms': 'Tem; effector memory', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000905	effector memory CD4-positive, alpha-beta T cell	TRUE
CD4+ Th17	CL:0000899	T-helper 17 cell	10040725	{'name': 'CD4+ Th17', 'full_name': 'CD4+ Th17 T cells', 'paper_synonyms': 'Th17; Th17 T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000899	T-helper 17 cell	TRUE
CD4+ Naive	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ Naive', 'full_name': 'CD4+ naïve T cells', 'paper_synonyms': 'naïve T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	TRUE
CD4+ Treg	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	10040725	{'name': 'CD4+ Treg', 'full_name': 'CD4+ regulatory T cells', 'paper_synonyms': 'Tregs; regulatory T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	TRUE
CD4+ T lymphocytes	CL:0000624	CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ T lymphocytes', 'full_name': 'CD4+ T lymphocytes', 'paper_synonyms': 'CD4+ T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
M1 macrophages	CL:0000863	inflammatory macrophage	10105558	{'name': 'M1 macrophages', 'full_name': 'M1 macrophages', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000863	inflammatory macrophage	TRUE
naive B cells	CL:0000788	naive B cell	10105558	{'name': 'naive B cells', 'full_name': 'naïve B cells', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000788	naive B cell	TRUE
neutrophils	CL:0000775	neutrophil	10105558	{'name': 'neutrophils', 'full_name': 'neutrophils', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000775	neutrophil	TRUE
CD8 T cells	CL:0000625	CD8-positive, alpha-beta T cell	10105558	{'name': 'CD8 T cells', 'full_name': 'CD8 T cells', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
Tregs	CL:0000815	regulatory T cell	10105558	{'name': 'Tregs', 'full_name': 'T regulatory cells', 'paper_synonyms': 'T regulatory cells; T-regulatory cells', 'tissue_context': 'prostate cancer (PCa)'}	CL:0000815	regulatory T cell	TRUE
M2 macrophages	CL:0000890	alternatively activated macrophage	10105558	{'name': 'M2 macrophages', 'full_name': 'M2 macrophages', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000890	alternatively activated macrophage	TRUE
IHC	CL:0000589	cochlear inner hair cell	10147377	{'name': 'IHC', 'full_name': 'inner hair cell', 'paper_synonyms': 'inner hair cell', 'tissue_context': 'cochlea; Organ of Corti'}	CL:0000589	cochlear inner hair cell	TRUE
inner hair cell	CL:0000589	cochlear inner hair cell	10147377	{'name': 'inner hair cell', 'full_name': 'inner hair cell', 'paper_synonyms': 'IHC', 'tissue_context': 'cochlea; Organ of Corti'}	CL:0000589	cochlear inner hair cell	TRUE
OHC	CL:0000601	cochlear outer hair cell	10147377	{'name': 'OHC', 'full_name': 'outer hair cell', 'paper_synonyms': 'outer hair cell', 'tissue_context': 'cochlea; OHC region'}	CL:0000601	cochlear outer hair cell	TRUE
outer hair cell	CL:0000601	cochlear outer hair cell	10147377	{'name': 'outer hair cell', 'full_name': 'outer hair cell', 'paper_synonyms': 'OHC', 'tissue_context': 'cochlea; OHC region'}	CL:0000601	cochlear outer hair cell	TRUE
SGN	CL:0011113	spiral ganglion neuron	10147377	{'name': 'SGN', 'full_name': 'spiral ganglion neuron', 'paper_synonyms': 'spiral ganglion neuron', 'tissue_context': 'cochlea; inner spiral bundle (ISB)'}	CL:0011113	spiral ganglion neuron	TRUE
spiral ganglion neuron	CL:0011113	spiral ganglion neuron	10147377	{'name': 'spiral ganglion neuron', 'full_name': 'spiral ganglion neuron', 'paper_synonyms': 'SGN', 'tissue_context': 'cochlea; inner spiral bundle (ISB)'}	CL:0011113	spiral ganglion neuron	TRUE
motor neuron	CL:0000100	motor neuron	10147377	{'name': 'motor neuron', 'full_name': 'motor neuron', 'paper_synonyms': None, 'tissue_context': 'ventral brainstem'}	CL:0000100	motor neuron	TRUE
neuronal	CL:0000540	neuron	10147377	{'name': 'neuronal', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0000540	neuron	TRUE
oligodendrocyte	CL:0000128	oligodendrocyte	10147377	{'name': 'oligodendrocyte', 'full_name': 'oligodendrocyte', 'paper_synonyms': None, 'tissue_context': 'ventral brainstem'}	CL:0000128	oligodendrocyte	TRUE
brainstem motor neurons	CL:2000047	brainstem motor neuron	10147377	{'name': 'brainstem motor neurons', 'full_name': 'brainstem motor neurons', 'paper_synonyms': None, 'tissue_context': 'ventral brainstem; facial motor nucleus (VII); trigeminal motor nucleus (V)'}	CL:2000047	brainstem motor neuron	TRUE
