input_name	text	cl_id	cl_label
MSCs	mesenchymal stem/stromal cell	CL:0002540	mesenchymal stem cell of the bone marrow
MSCs	MSC	CL:0000134	mesenchymal stem cell
MSC	mesenchymal stem/stromal cell	CL:0000134	mesenchymal stem cell
MSC	MSC	CL:0000134	mesenchymal stem cell
cBMSCs	clonal bone marrow stem (stromal) cell	CL:0002540	mesenchymal stem cell of the bone marrow
cBMSCs	cBMSC	CL:0002540	mesenchymal stem cell of the bone marrow
Treg cells	Regulatory T cell	CL:0000815	regulatory T cell
Treg cells	Treg cell	CL:0000815	regulatory T cell
Treg	Regulatory T cell	CL:0000815	regulatory T cell
Treg	Treg	CL:0000815	regulatory T cell
Inactive Treg cells	Inactive regulatory T cell	CL:0000815	regulatory T cell
Inactive Treg cells	Inactive Treg cell	CL:0000815	regulatory T cell
oocytes	oocyte	CL:0000023	oocyte
oocytes	oocyte	CL:0000023	oocyte
oocyte	oocyte	CL:0000023	oocyte
oocyte	oocyte	CL:0000023	oocyte
T cells	T cell	CL:0000084	T cell
CD4+ T cells	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CCR6+CD161+ Th17	CCR6 + CD161 + Th17 phenotype	CL:0000899	T-helper 17 cell
CCR6+CD161+ Th17	CCR6+CD161+ Th17	CL:0000899	T-helper 17 cell
activated regulatory T-cell	activated regulatory T cell	CL:0000815	regulatory T cell
T-cell	T cell	CL:0000084	T cell
cardiomyocytes	cardiomyocyte	CL:0000746	cardiac muscle cell
cardiomyocytes	cardiomyocyte	CL:0000746	cardiac muscle cell
pluripotent stem cells	pluripotent stem cell	CL:0002248	pluripotent stem cell
pluripotent stem cells	pluripotent stem cell	CL:0002248	pluripotent stem cell
monocyte	monocyte	CL:0000576	monocyte
monocyte	monocyte	CL:0000576	monocyte
myeloid cell	myeloid cell	CL:0000763	myeloid cell
myeloid cell	myeloid cell	CL:0000763	myeloid cell
macrophage	macrophage	CL:0000235	macrophage
macrophage	macrophage	CL:0000235	macrophage
oocytes	oocyte	CL:0000023	oocyte
oocytes	oocyte	CL:0000023	oocyte
ovarian granulosa cells	ovarian granulosa cell	CL:0000501	granulosa cell
ovarian granulosa cells	ovarian granulosa cell	CL:0000501	granulosa cell
ILCs	innate lymphoid cell	CL:0001065	innate lymphoid cell
ILCs	ILC	CL:0001065	innate lymphoid cell
oligodendrocytes	oligodendrocyte	CL:0000128	oligodendrocyte
oligodendrocytes	oligodendrocyte	CL:0000128	oligodendrocyte
AST	astrocyte	CL:0000127	astrocyte
AST	AST	CL:0000127	astrocyte
Astrocytes	astrocyte	CL:0000127	astrocyte
Astrocytes	astrocyte	CL:0000127	astrocyte
BG	Bergman glial cell	CL:0000644	Bergmann glial cell
BG	BG	CL:0000644	Bergmann glial cell
Bergman Glia	Bergman glial cell	CL:0000644	Bergmann glial cell
Bergman Glia	Bergman glial cell	CL:0000644	Bergmann glial cell
CGE	Caudal Ganglionic Eminence	NO MATCH found	
CGE	CGE	NO MATCH found	
Caudal Ganglionic Eminescence	Caudal Ganglionic Eminescence	NO MATCH found	
ENDO	Endothelial cell	CL:0000115	endothelial cell
ENDO	ENDO	CL:0000115	endothelial cell
Endothelial cells	Endothelial cell	CL:0000115	endothelial cell
Endothelial cells	Endothelial cell	CL:0000115	endothelial cell
GC	Granule Cell	CL:0001031	cerebellar granule cell
GC	GC	CL:0001031	cerebellar granule cell
Granule Cell	Granule Cell	CL:0001031	cerebellar granule cell
Granule Cell	Granule Cell	CL:0001031	cerebellar granule cell
GP	Granule cell Progenitor	CL:0002362	cerebellar granule cell precursor
GP	GP	CL:0002362	cerebellar granule cell precursor
Granule cell Progenitor	Granule cell Progenitor	CL:0002362	cerebellar granule cell precursor
Granule cell Progenitor	Granule cell Progenitor	CL:0002362	cerebellar granule cell precursor
MGE	Medial Ganglionic Eminence	CL:4023069	medial ganglionic eminence derived GABAergic cortical interneuron
MGE	MGE	CL:4023069	medial ganglionic eminence derived GABAergic cortical interneuron
Medial Ganglionic Eminescence	Medial Ganglionic Eminescence	CL:4023063	medial ganglionic eminence derived interneuron
MGL	Microglial cell	CL:0000129	microglial cell
MGL	MGL	CL:0000129	microglial cell
Microglia	Microglial cell	CL:0000129	microglial cell
Microglia	Microglial cell	CL:0000129	microglial cell
MG	Muller glial cell	CL:0000636	Mueller cell
MG	MG	CL:0000636	Mueller cell
Muller Glia	Muller glial cell	CL:0000636	Mueller cell
Muller Glia	Muller glial cell	CL:0000636	Mueller cell
OL	Oligodendrocyte	CL:0000128	oligodendrocyte
OL	OL	CL:0000128	oligodendrocyte
Oligodendrocyte	Oligodendrocyte	CL:0000128	oligodendrocyte
Oligodendrocyte	Oligodendrocyte	CL:0000128	oligodendrocyte
OPC	Oligodendrocyte Precursor Cell	CL:0002453	oligodendrocyte precursor cell
OPC	OPC	CL:0002453	oligodendrocyte precursor cell
Oligodendrocyte Precursor Cells	Oligodendrocyte Precursor Cell	CL:0002453	oligodendrocyte precursor cell
Oligodendrocyte Precursor Cells	Oligodendrocyte Precursor Cell	CL:0002453	oligodendrocyte precursor cell
PURK	Purkinje cell	CL:0000121	Purkinje cell
PURK	PURK	NO MATCH found	
Purkinje cells	Purkinje cell	CL:0000121	Purkinje cell
Purkinje cells	Purkinje cell	CL:0000121	Purkinje cell
MDSC	Myeloid-Derived Suppressor Cell	CL:0000889	myeloid suppressor cell
MDSC	MDSC	CL:0000889	myeloid suppressor cell
Myeloid-Derived Suppressor Cells	Myeloid-Derived Suppressor Cell	CL:0000889	myeloid suppressor cell
Myeloid-Derived Suppressor Cells	Myeloid-Derived Suppressor Cell	CL:0000889	myeloid suppressor cell
B-cell	B cell	CL:0000236	B cell
B-cell	B-cell	CL:0000236	B cell
T cells	T cell	CL:0000084	T cell
T cells	T cell	CL:0000084	T cell
small-intestine epithelial cells	small-intestine epithelial cell	CL:0002254	epithelial cell of small intestine
small-intestine epithelial cells	small-intestine epithelial cell	CL:0002254	epithelial cell of small intestine
pit cells	central cell	NO MATCH found	
pit cells	pit cell	NO MATCH found	
pit	pit	NO MATCH found	
bronchoalveolar macrophage	bronchoalveolar macrophage	CL:0000583	alveolar macrophage
bronchoalveolar macrophage	bronchoalveolar macrophage	CL:0000583	alveolar macrophage
alveolar type 1	alveolar type 1	CL:0002062	pulmonary alveolar type 1 cell
alveolar type 1	alveolar type 1	CL:0002062	pulmonary alveolar type 1 cell
alveolar type 2 cell	alveolar type 2 cell	CL:0002063	pulmonary alveolar type 2 cell
alveolar type 2 cell	alveolar type 2 cell	CL:0002063	pulmonary alveolar type 2 cell
CECs	corneal endothelial cell	CL:0000132	corneal endothelial cell
CECs	CEC	CL:0000132	corneal endothelial cell
dSPNs	dopamine receptor-1 expressing spiny projection neuron	CL:4023026	direct pathway medium spiny neuron
dSPNs	dSPN	CL:4023026	direct pathway medium spiny neuron
iSPNs	dopamine receptor-2 expressing spiny projection neuron	CL:4023029	indirect pathway medium spiny neuron
iSPNs	iSPN	CL:4023029	indirect pathway medium spiny neuron
oligodendrocytes	oligodendrocyte	CL:0000128	oligodendrocyte
oligodendrocytes	oligodendrocyte	CL:0000128	oligodendrocyte
astrocytes	astrocyte	CL:0000127	astrocyte
astrocytes	astrocyte	CL:0000127	astrocyte
interneurons	interneuron	CL:0000099	interneuron
interneurons	interneuron	CL:0000099	interneuron
neuronal cell	neuronal cell	CL:0000540	neuron
neuronal	neuronal	CL:0000540	neuron
progenitor	progenitor	CL:0011026	progenitor cell
progenitor	progenitor	CL:0011026	progenitor cell
neural progenitor	neural progenitor	CL:0011020	neural progenitor cell
neural progenitor	neural progenitor	CL:0011020	neural progenitor cell
SPNs	spiny projection neuron	CL:1001474	medium spiny neuron
SPNs	SPN	CL:1001474	medium spiny neuron
keratinocyte	keratinocyte	CL:0000312	keratinocyte
keratinocyte	keratinocyte	CL:0000312	keratinocyte
T lymphocytes	T lymphocyte	CL:0000084	T cell
T lymphocytes	T lymphocyte	CL:0000084	T cell
CD8+ cells	CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ cells	CD8+ cell	CL:0000625	CD8-positive, alpha-beta T cell
CD4+ cells	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ cells	CD4+ cell	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ T helper (Th) cells	CD4+ T helper (Th) cell	CL:0000492	CD4-positive helper T cell
CD4+ T helper (Th) cells	CD4+ T helper (Th) cell	CL:0000492	CD4-positive helper T cell
CD8+ cytotoxic T lymphocytes	CD8+ cytotoxic T lymphocyte	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell
CD8+ cytotoxic T lymphocytes	CD8+ cytotoxic T lymphocyte	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell
CTLs	CD8+ cytotoxic T lymphocyte	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell
CTLs	CTL	CL:0000910	cytotoxic T cell
liver sinusoidal endothelial cell	liver sinusoidal endothelial cell	CL:1000398	endothelial cell of hepatic sinusoid
liver sinusoidal endothelial cell	liver sinusoidal endothelial cell	CL:1000398	endothelial cell of hepatic sinusoid
LSEC	liver sinusoidal endothelial cell	CL:1000398	endothelial cell of hepatic sinusoid
LSEC	LSEC	CL:1000398	endothelial cell of hepatic sinusoid
cholangiocyte	cholangiocyte	CL:1000488	cholangiocyte
cholangiocyte	cholangiocyte	CL:1000488	cholangiocyte
HSC	hepatic stellate cell	CL:0000632	hepatic stellate cell
HSC	HSC	CL:0000037	hematopoietic stem cell
cholangiocytes	cholangiocyte	CL:1000488	cholangiocyte
cholangiocytes	cholangiocyte	CL:1000488	cholangiocyte
erythrocytes	erythrocyte	CL:0000232	erythrocyte
erythrocytes	erythrocyte	CL:0000232	erythrocyte
mesenchymal stem cell	mesenchymal stem cell	CL:0000134	mesenchymal stem cell
mesenchymal stem cell	mesenchymal stem cell	CL:0000134	mesenchymal stem cell
stem cell	stem cell	CL:0000034	stem cell
stem cell	stem cell	CL:0000034	stem cell
stem cells	stem cell	CL:0000034	stem cell
stem cells	stem cell	CL:0000034	stem cell
mammary stem cell	mammary gland stem cell	CL:0002451	mammary stem cell
mammary stem cell	mammary stem cell	CL:0002451	mammary stem cell
mammary stem cells	mammary gland stem cell	CL:0002451	mammary stem cell
mammary stem cells	mammary stem cell	CL:0002451	mammary stem cell
unipotent estrogen receptor-negative luminal progenitors	unipotent estrogen receptor-negative luminal progenitor	CL:0009116	progenitor cell of mammary luminal epithelium
unipotent estrogen receptor-negative luminal progenitors	unipotent estrogen receptor-negative luminal progenitor	CL:0009116	progenitor cell of mammary luminal epithelium
mammary epithelial cells	mammary epithelial cell	CL:0002327	mammary gland epithelial cell
mammary epithelial cells	mammary epithelial cell	CL:0002327	mammary gland epithelial cell
luminal cell	luminal cell	CL:0002326	luminal epithelial cell of mammary gland
luminal cell	luminal cell	CL:0002326	luminal epithelial cell of mammary gland
luminal cells	luminal cell	CL:0002326	luminal epithelial cell of mammary gland
luminal cells	luminal cell	CL:0002326	luminal epithelial cell of mammary gland
sickle and normal cells	sickled red blood cell and normal red blood cell	CL:0000232	erythrocyte
sickle and normal cells	sickle and normal cell	CL:0000232	erythrocyte
CCR2 + monocyte	C–C chemokine receptor 2-positive monocyte	CL:0000576	monocyte
CCR2 + monocyte	CCR2 + monocyte	CL:0000576	monocyte
oligodendrocytes	oligodendrocyte	CL:0000128	oligodendrocyte
astrocytes	astrocyte	CL:0000127	astrocyte
radial glia	radial glial cell	CL:0000681	radial glial cell
RG	radial glial cell	CL:0000681	radial glial cell
RG	RG	CL:0000681	radial glial cell
endothelial	endothelial cell	CL:0000115	endothelial cell
endothelial	endothelial	CL:0000115	endothelial cell
pericytes	pericyte	CL:0000669	pericyte
gastric stem cells	gastric stem cell	CL:0002183	stem cell of gastric gland
gastric stem cells	gastric stem cell	CL:0002183	stem cell of gastric gland
gastric progenitor	gastric progenitor cell	CL:0011026	progenitor cell
gastric progenitor	gastric progenitor	CL:0011026	progenitor cell
gastric epithelial cells	human gastric corpus epithelial cell	CL:0002178	epithelial cell of stomach
gastric epithelial cells	gastric epithelial cell	CL:0002178	epithelial cell of stomach
parietal cells	parietal/oxyntic cell	CL:0000162	parietal cell
parietal cells	parietal cell	CL:0000162	parietal cell
neck cells	mucous neck cell	CL:0002181	mucous neck cell of gastric gland
neck cells	neck cell	CL:0002181	mucous neck cell of gastric gland
neck and endocrine cells	mucous neck cell and endocrine cell	NO MATCH found	
neck and endocrine cells	neck and endocrine cell	NO MATCH found	
gastric progenitor cells	gastric progenitor cell	CL:0002183	stem cell of gastric gland
gastric progenitor cells	gastric progenitor cell	CL:0002183	stem cell of gastric gland
endocrine cells	endocrine cell	CL:0000163	endocrine cell
endocrine cells	endocrine cell	CL:0000163	endocrine cell
progenitor cells	progenitor cell	CL:0011026	progenitor cell
progenitor cells	progenitor cell	CL:0011026	progenitor cell
progenitor	progenitor cell	CL:0011026	progenitor cell
progenitor	progenitor	CL:0011026	progenitor cell
stem	stem cell	CL:0000034	stem cell
stem	stem	CL:0000034	stem cell
stem/progenitor cells	stem/progenitor cell	CL:0011026	progenitor cell
stem/progenitor cells	stem/progenitor cell	CL:0011026	progenitor cell
Neutrophil	Neutrophil	CL:0000775	neutrophil
Neutrophil	Neutrophil	CL:0000775	neutrophil
Macrophage	Macrophage	CL:0000235	macrophage
Macrophage	Macrophage	CL:0000235	macrophage
Dendritic cell	Dendritic cell	CL:0000451	dendritic cell
Dendritic cell	Dendritic cell	CL:0000451	dendritic cell
B cell	B cell	CL:0000236	B cell
B cell	B cell	CL:0000236	B cell
Pro-B cell	Pro-B cell	CL:0000826	pro-B cell
Pro-B cell	Pro-B cell	CL:0000826	pro-B cell
T cell	T cell	CL:0000084	T cell
T cell	T cell	CL:0000084	T cell
Natural killer cell	Natural killer cell	CL:0000623	natural killer cell
Natural killer cell	Natural killer cell	CL:0000623	natural killer cell
Megakaryocyte	Megakaryocyte	CL:0000556	megakaryocyte
Megakaryocyte	Megakaryocyte	CL:0000556	megakaryocyte
Erythrocyte	Erythrocyte	CL:0000232	erythrocyte
Erythrocyte	Erythrocyte	CL:0000232	erythrocyte
Mesenchymal cell	Mesenchymal cell	CL:0008019	mesenchymal cell
Mesenchymal cell	Mesenchymal cell	CL:0008019	mesenchymal cell
Myeloid progenitor	Myeloid progenitor	CL:0000839	myeloid lineage restricted progenitor cell
Myeloid progenitor	Myeloid progenitor	CL:0000839	myeloid lineage restricted progenitor cell
Endothelial Cell	Endothelial Cell	CL:0000115	endothelial cell
Endothelial Cell	Endothelial Cell	CL:0000115	endothelial cell
Epithelial Cell	Epithelial Cell	CL:0000066	epithelial cell
Epithelial Cell	Epithelial Cell	CL:0000066	epithelial cell
Fibroblast	Fibroblast	CL:0000057	fibroblast
Fibroblast	Fibroblast	CL:0000057	fibroblast
Granulosa Cell	Granulosa Cell	CL:0000501	granulosa cell
Granulosa Cell	Granulosa Cell	CL:0000501	granulosa cell
Leydig Cell	Leydig Cell	CL:0000178	Leydig cell
Leydig Cell	Leydig Cell	CL:0000178	Leydig cell
M1 Macrophage	M1 macrophage	CL:0000863	inflammatory macrophage
M1 Macrophage	M1 macrophage	CL:0000863	inflammatory macrophage
M2 Macrophage	M2 macrophage	CL:0000890	alternatively activated macrophage
M2 Macrophage	M2 macrophage	CL:0000890	alternatively activated macrophage
Memory T Cell	Memory T cell	CL:0000813	memory T cell
Memory T Cell	Memory T cell	CL:0000813	memory T cell
Mesenchymal Cell	Mesenchymal cell	CL:0008019	mesenchymal cell
Mesenchymal Cell	Mesenchymal cell	CL:0008019	mesenchymal cell
Progenitor Cell	Progenitor Cell	CL:0011026	progenitor cell
Naive B Cell	Naive B Cell	CL:0000788	naive B cell
Naive B Cell	Naive B Cell	CL:0000788	naive B cell
Natural Killer (NK) Cell	Natural Killer (NK) Cell	CL:0000623	natural killer cell
Natural Killer (NK) Cell	Natural Killer (NK) Cell	CL:0000623	natural killer cell
Natural Killer T (NKT) Cell	Natural Killer T (NKT) Cell	CL:0000814	mature NK T cell
Natural Killer T (NKT) Cell	Natural Killer T (NKT) Cell	CL:0000814	mature NK T cell
Neutrophil	Neutrophil	CL:0000775	neutrophil
Neutrophil	Neutrophil	CL:0000775	neutrophil
Plasma Cell	Plasma Cell	CL:0000786	plasma cell
Plasma Cell	Plasma Cell	CL:0000786	plasma cell
Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell	CL:0000784	plasmacytoid dendritic cell
Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell	CL:0000784	plasmacytoid dendritic cell
Regulatory T (Treg) Cell	Regulatory T (Treg) Cell	CL:0000815	regulatory T cell
Regulatory T (Treg) Cell	Regulatory T (Treg) Cell	CL:0000815	regulatory T cell
T Helper Cell	T Helper Cell	CL:0000912	helper T cell
T Helper Cell	T Helper Cell	CL:0000912	helper T cell
DC	dendritic cell	CL:0000451	dendritic cell
DC	DC	CL:0000451	dendritic cell
mesenchymal cells	mesenchymal cell	CL:0008019	mesenchymal cell
mesenchymal cells	mesenchymal cell	CL:0008019	mesenchymal cell
MECs	myoepithelial cell	CL:0000185	myoepithelial cell
MECs	MEC	CL:0000185	myoepithelial cell
acinar cells	acinar cell	CL:0002623	acinar cell of salivary gland
acinar cells	acinar cell	CL:0002623	acinar cell of salivary gland
acinar and MECs	acinar and myoepithelial cell	NO MATCH found	
acinar and MECs	acinar and MEC	NO MATCH found	
acinar	acinar cell	CL:0002623	acinar cell of salivary gland
acinar	acinar	CL:0002623	acinar cell of salivary gland
MEC	myoepithelial cell	CL:0000185	myoepithelial cell
MEC	MEC	CL:0000185	myoepithelial cell
basal cells	basal cell	CL:0000646	basal cell
basal cells	basal cell	CL:0000646	basal cell
interneuron	GABAergic interneuron	CL:0011005	GABAergic interneuron
interneuron	interneuron	CL:0000099	interneuron
pyramidal	pyramidal neuron	CL:0000598	pyramidal neuron
pyramidal	pyramidal	CL:0000598	pyramidal neuron
T cells	T lymphocyte	CL:0000084	T cell
T cells	T cell	CL:0000084	T cell
T lymphocytes	T lymphocyte	CL:0000084	T cell
T lymphocytes	T lymphocyte	CL:0000084	T cell
CD8+ T cells	CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ T cells	CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD4+ T cells	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ T cells	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD8+ MAIT	CD8+ mucosa-associated invariant T cell	CL:0000940	mucosal invariant T cell
CD8+ MAIT	CD8+ MAIT	CL:0000940	mucosal invariant T cell
CD8+ Naive	CD8+ naïve T cell	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell
CD8+ Naive	CD8+ Naive	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell
CD8+ intraepithelial lymphocytes	CD8+ intraepithelial lymphocyte	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell
CD8+ intraepithelial lymphocytes	CD8+ intraepithelial lymphocyte	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell
IEL	intraepithelial lymphocyte	CL:0002496	intraepithelial lymphocyte
IEL	IEL	CL:0002496	intraepithelial lymphocyte
CD8+ Tem	CD8+ effector memory T cell	CL:0000913	effector memory CD8-positive, alpha-beta T cell
CD8+ Tem	CD8+ Tem	CL:0000913	effector memory CD8-positive, alpha-beta T cell
CD8+ Temra	CD8+ recently activated effector memory T cell	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated
CD8+ Temra	CD8+ Temra	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated
CD4+ Tem	CD4+ effector memory T cell	CL:0000905	effector memory CD4-positive, alpha-beta T cell
CD4+ Tem	CD4+ Tem	CL:0000905	effector memory CD4-positive, alpha-beta T cell
CD4+ Th17	CD4+ Th17 T cell	CL:0000899	T-helper 17 cell
CD4+ Th17	CD4+ Th17	CL:0000899	T-helper 17 cell
CD4+ Naive	CD4+ naive T cell	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell
CD4+ Naive	CD4+ Naive	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell
CD4+ Treg	CD4+ regulatory T cell	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell
CD4+ Treg	CD4+ Treg	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell
CD8+ T cell	CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ T cell	CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD4+ T cell	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ T cell	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD8+ T lymphocytes	CD8+ T lymphocyte	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ T lymphocytes	CD8+ T lymphocyte	CL:0000625	CD8-positive, alpha-beta T cell
CD4+ T lymphocytes	CD4+ T lymphocyte	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ T lymphocytes	CD4+ T lymphocyte	CL:0000624	CD4-positive, alpha-beta T cell
MECs	myoepithelial cell	CL:0000185	myoepithelial cell
MECs	MEC	CL:0000185	myoepithelial cell
stem cells	stem cell	CL:0000034	stem cell
stem cells	stem cell	CL:0000034	stem cell
mammary ductal cells	mammary ductal cell	CL:0002326	luminal epithelial cell of mammary gland
mammary ductal cells	mammary ductal cell	CL:0002326	luminal epithelial cell of mammary gland
tubular cells	tubular cell	CL:1000507	kidney tubule cell
tubular cells	tubular cell	CL:1000507	kidney tubule cell
corneal limbal stem cells	corneal limbal stem cell	CL:4033093	limbal epithelial stem cell of cornea
corneal limbal stem cells	corneal limbal stem cell	CL:4033093	limbal epithelial stem cell of cornea
stem/progenitor cells	stem/progenitor cell	NO MATCH found	
stem/progenitor cells	stem/progenitor cell	NO MATCH found	
M1 macrophages	M1 macrophage	CL:0000863	inflammatory macrophage
M1 macrophages	M1 macrophage	CL:0000863	inflammatory macrophage
naive B cells	naïve B cell	CL:0000788	naive B cell
naive B cells	naive B cell	CL:0000788	naive B cell
neutrophils	neutrophil	CL:0000775	neutrophil
neutrophils	neutrophil	CL:0000775	neutrophil
CD8 T cells	CD8 T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD8 T cells	CD8 T cell	CL:0000625	CD8-positive, alpha-beta T cell
Tregs	T regulatory cell	CL:0000815	regulatory T cell
Tregs	Treg	CL:0000815	regulatory T cell
M2 macrophages	M2 macrophage	CL:0000890	alternatively activated macrophage
M2 macrophages	M2 macrophage	CL:0000890	alternatively activated macrophage
OHC	outer hair cell	CL:0000601	cochlear outer hair cell
OHC	OHC	CL:0000601	cochlear outer hair cell
outer hair cell	outer hair cell	CL:0000601	cochlear outer hair cell
outer hair cell	outer hair cell	CL:0000601	cochlear outer hair cell
SGN	spiral ganglion neuron	CL:0011113	spiral ganglion neuron
SGN	SGN	CL:0011113	spiral ganglion neuron
spiral ganglion neuron	spiral ganglion neuron	CL:0011113	spiral ganglion neuron
spiral ganglion neuron	spiral ganglion neuron	CL:0011113	spiral ganglion neuron
motor neuron	motor neuron	CL:0000100	motor neuron
motor neuron	motor neuron	CL:0000100	motor neuron
neuronal	neuronal	CL:0000540	neuron
oligodendrocyte	oligodendrocyte	CL:0000128	oligodendrocyte
oligodendrocyte	oligodendrocyte	CL:0000128	oligodendrocyte
brainstem motor neurons	brainstem motor neuron	CL:2000047	brainstem motor neuron
brainstem motor neurons	brainstem motor neuron	CL:2000047	brainstem motor neuron
endocrine	endocrine cell	CL:0000163	endocrine cell
endocrine	endocrine	CL:0000163	endocrine cell
exocrine cells	exocrine pancreatic cell	CL:1001599	pancreas exocrine glandular cell
exocrine cells	exocrine cell	CL:0000152	exocrine cell
endocrine and exocrine cells	endocrine and exocrine pancreatic cell	NO MATCH found	
endocrine and exocrine cells	endocrine and exocrine cell	NO MATCH found	
exocrine acinar cells	acinar cell of the exocrine pancreas	CL:0002064	pancreatic acinar cell
exocrine acinar cells	exocrine acinar cell	CL:0002064	pancreatic acinar cell
islet cells	Langerhans islet cell	CL:0008024	pancreatic endocrine cell
islet cells	islet cell	CL:0008024	pancreatic endocrine cell
cardiomyocytes	cardiomyocyte	CL:0000746	cardiac muscle cell
cardiomyocytes	cardiomyocyte	CL:0000746	cardiac muscle cell
CMCs	beating cardiomyocyte	CL:0000746	cardiac muscle cell
CMCs	CMC	CL:0000746	cardiac muscle cell
cardiac	cardiac	NO MATCH found	
fibroblast	fibroblast	CL:0000057	fibroblast
fibroblast	fibroblast	CL:0000057	fibroblast
synovial macrophage	synovial macrophage	CL:0002302	type A synovial cell
synovial macrophage	synovial macrophage	CL:0002302	type A synovial cell
Lin-Sca-1 + c-Kit +	Lin-Sca-1+ c-Kit+	CL:0001008	Kit and Sca1-positive hematopoietic stem cell
