author_cell_type	CL_label	CL_ID	reference	dataset_version
Pelvic epithelium	kidney epithelial cell	CL:0002518	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Glomerular endothelium	glomerular endothelial cell	CL:0002188	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Indistinct intercalated cell	renal intercalated cell	CL:0005010	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Type B intercalated cell	renal beta-intercalated cell	CL:0002201	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Descending vasa recta endothelium	vasa recta descending limb cell	CL:1001285	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
CD8 T cell	CD8-positive, alpha-beta T cell	CL:0000625	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Epithelial progenitor cell	progenitor cell	CL:0011026	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
MNP-a/classical monocyte derived	classical monocyte	CL:0000860	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Neutrophil	neutrophil	CL:0000775	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Connecting tubule	kidney connecting tubule epithelial cell	CL:1000768	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Myofibroblast	myofibroblast cell	CL:0000186	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
MNP-c/dendritic cell	dendritic cell	CL:0000451	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
NKT cell	mature NK T cell	CL:0000814	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
MNP-d/Tissue macrophage	kidney resident macrophage	CL:1000698	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Fibroblast	kidney interstitial fibroblast	CL:1000692	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Distinct proximal tubule 1	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
MNP-b/non-classical monocyte derived	non-classical monocyte	CL:0000875	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Distinct proximal tubule 2	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Principal cell	renal principal cell	CL:0005009	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Plasmacytoid dendritic cell	plasmacytoid dendritic cell	CL:0000784	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Mast cell	mast cell	CL:0000097	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Peritubular capillary endothelium	capillary endothelial cell	CL:0002144	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Intercalated cell	renal alpha-intercalated cell	CL:0005011	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Intercalated cell	renal intercalated cell	CL:0005010	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Intercalated cell	renal beta-intercalated cell	CL:0002201	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
