author_cell_type	CL_label	CL_ID	reference	dataset_version
pericyte	pericyte	CL:0000669	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Treg	regulatory T cell	CL:0000815	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Lymphatic endothelial cell	endothelial cell of lymphatic vessel	CL:0002138	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
B cell	B cell	CL:0000236	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Activated B cell	B cell	CL:0000236	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
pDC	plasmacytoid dendritic cell	CL:0000784	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Cycling plasma cell	plasma cell	CL:0000786	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
gd T/NK cell	gamma-delta T cell	CL:0000798	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
mast cells	mast cell	CL:0000097	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Paneth cell	glial cell	CL:0000125	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
BEST4 enterocyte	enterocyte	CL:0000584	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
activated DC	dendritic cell, human	CL:0001056	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
S2 fibroblasts	fibroblast	CL:0000057	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
CD8 T cell	CD8-positive, alpha-beta T cell	CL:0000625	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Macrophage	glial cell	CL:0000125	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Glial cell	glial cell	CL:0000125	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Cycling myeloid cells	myeloid cell	CL:0000763	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Tuft	intestinal tuft cell	CL:0019032	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
