annotation_text	cl_id	cl_label	article_id_doi	enrichment	grounding_cl_id	grounding_cl_label	result
SCT	CL:0000525	syncytiotrophoblast cell	DOI:10.1038/s41586-018-0698-6	{'name': 'SCT', 'full_name': 'syncytiotrophoblast', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000525	syncytiotrophoblast cell	TRUE
Tcells	CL:0000084	T cell	DOI:10.1038/s41586-018-0698-6	{'name': 'Tcells', 'full_name': 'T cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000084	T cell	TRUE
VCT	CL:2000060	placental villous trophoblast	DOI:10.1038/s41586-018-0698-6	{'name': 'VCT', 'full_name': 'villous cytotrophoblast', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000523	mononuclear cytotrophoblast cell	FALSE
dM1	CL:0000235	macrophage	DOI:10.1038/s41586-018-0698-6	{'name': 'dM1', 'full_name': 'decidual macrophage 1', 'paper_synonyms': 'dM; decidual macrophages', 'tissue_context': ''}	CL:4033088	decidual resident macrophage	FALSE
dM2	CL:0000235	macrophage	DOI:10.1038/s41586-018-0698-6	{'name': 'dM2', 'full_name': 'decidual macrophage 2', 'paper_synonyms': 'dM; decidual macrophages', 'tissue_context': ''}	CL:4033088	decidual resident macrophage	FALSE
dM3	CL:0000235	macrophage	DOI:10.1038/s41586-018-0698-6	{'name': 'dM3', 'full_name': 'decidual macrophage 3', 'paper_synonyms': 'dM; decidual macrophages', 'tissue_context': ''}	CL:4033088	decidual resident macrophage	FALSE
dNK p	CL:0002343	decidual natural killer cell, human	DOI:10.1038/s41586-018-0698-6	{'name': 'dNK p', 'full_name': 'proliferating decidual natural killer cell', 'paper_synonyms': 'dNKp; proliferating dNK cells; NKp; proliferating natural killer cells', 'tissue_context': ''}	CL:4052028	uterine natural killer cell	FALSE
dNK1	CL:0002343	decidual natural killer cell, human	DOI:10.1038/s41586-018-0698-6	{'name': 'dNK1', 'full_name': 'decidual natural killer cell 1', 'paper_synonyms': 'decidual natural killer (dNK) cells; dNK cells; dNK', 'tissue_context': ''}	CL:4052051	uterine natural killer cell 1, human	FALSE
dNK2	CL:0002343	decidual natural killer cell, human	DOI:10.1038/s41586-018-0698-6	{'name': 'dNK2', 'full_name': 'decidual natural killer cell 2', 'paper_synonyms': None, 'tissue_context': ''}	CL:4052052	uterine natural killer cell 2, human	FALSE
dNK3	CL:0002343	decidual natural killer cell, human	DOI:10.1038/s41586-018-0698-6	{'name': 'dNK3', 'full_name': 'decidual natural killer cell 3', 'paper_synonyms': 'decidual natural killer (dNK) cells; dNK cells; dNK', 'tissue_context': ''}	CL:4052053	uterine natural killer cell 3, human	FALSE
dP1	CL:0000669	pericyte	DOI:10.1038/s41586-018-0698-6	{'name': 'dP1', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
dP2	CL:0000669	pericyte	DOI:10.1038/s41586-018-0698-6	{'name': 'dP2', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
dS1	CL:2000002	decidual cell	DOI:10.1038/s41586-018-0698-6	{'name': 'dS1', 'full_name': 'decidual stromal cell 1', 'paper_synonyms': None, 'tissue_context': ''}	CL:2000002	decidual cell	TRUE
dS2	CL:2000002	decidual cell	DOI:10.1038/s41586-018-0698-6	{'name': 'dS2', 'full_name': 'decidual stromal cell 2', 'paper_synonyms': None, 'tissue_context': ''}	CL:2000002	decidual cell	TRUE
dS3	CL:2000002	decidual cell	DOI:10.1038/s41586-018-0698-6	{'name': 'dS3', 'full_name': 'decidual stromal cell 3', 'paper_synonyms': 'decidual stromal cells', 'tissue_context': ''}	CL:2000002	decidual cell	TRUE
fFB1	CL:0000057	fibroblast	DOI:10.1038/s41586-018-0698-6	{'name': 'fFB1', 'full_name': 'fetal fibroblast 1', 'paper_synonyms': 'fibroblasts; F', 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
fFB2	CL:0000057	fibroblast	DOI:10.1038/s41586-018-0698-6	{'name': 'fFB2', 'full_name': 'fetal', 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
